Customer_Key,Customer_Id,First_Name,Last_Name,Address,Pincode,Phone_Number,Customer_Joining_Date
69,CUST069,Blair,Harg,724 Village Pass,,478-897-7830,02-02-2018
70,CUST070,Carmon,Mabson,16794 Oakridge Lane,05-509,651-547-4482,10/21/2016
71,CUST071,Kennie,Cassius,9 Porter Street,,680-126-7978,04-10-2014
72,CUST072,Margaret,Pechan,0260 Transport Center,,999-382-9226,02-04-2012
73,CUST073,Bobbee,Seeviour,53813 Iowa Lane,306205,964-448-4219,12-06-2011
74,CUST074,Royal,Postins,6 Lakewood Drive,,710-640-3152,6/15/2013
75,CUST075,Mannie,Dunsmore,1 Russell Trail,,879-329-1409,06-05-2013
76,CUST076,Cecelia,Cassedy,1 Karstens Road,309296,477-445-3498,07-04-2017
77,CUST077,Barnard,Farmiloe,843 Gina Trail,,801-495-9087,04-06-2016
78,CUST078,Ellyn,Strand,9 Scott Street,,524-756-2003,06-10-2012
79,CUST079,Ree,Elt,9 Schurz Trail,47180,160-763-4435,9/28/2016
80,CUST080,Emalee,Cornilleau,2 Canary Junction,,649-966-2832,07-11-2014
81,CUST081,Pall,Klimke,167 Caliangt Center,97229,503-114-8486,5/23/2015
82,CUST082,Corette,Murty,79353 Paget Avenue,2423,203-582-9633,4/27/2011
83,CUST083,Gardiner,Norcliff,0 Kings Crossing,96170-000,572-553-5272,10/22/2019
84,CUST084,Norri,Pithie,6669 Cody Crossing,20311 CEDEX 1,567-505-2310,07-09-2015
85,CUST085,Humbert,Candwell,80954 Fulton Avenue,,254-810-7413,7/14/2017
86,CUST086,Cindi,Fillan,5870 Bunker Hill Court,91501,771-849-5638,09-04-2015
87,CUST087,Gil,Bould,95387 Eagle Crest Terrace,353798,225-188-6407,07-04-2010
88,CUST088,Lyndsay,Cranmor,44465 Scott Drive,,164-586-4585,05-07-2012
89,CUST089,Alphonse,Rubra,95082 Anniversary Point,25130,132-458-0561,11-10-2021
90,CUST090,Paco,Pope,2 Schmedeman Circle,38680-000,121-148-4854,2/21/2018
91,CUST091,Larina,Shottin,31 Center Terrace,355011,562-289-9524,10-10-2019
92,CUST092,Herminia,Merrilees,662 Forest Dale Center,,914-935-1239,07-10-2013
93,CUST093,Raquel,Merrison,2144 Center Circle,5611,918-998-2927,1/30/2015
94,CUST094,Lisetta,Byart,6314 Melby Pass,765 02,140-977-7928,02-10-2014
95,CUST095,Lezlie,Pedican,05476 Green Ridge Lane,15274,412-810-0857,3/23/2019
96,CUST096,Gram,Egre,5889 Bonner Avenue,561 81,469-498-1087,02-05-2011
97,CUST097,Jeffrey,Drinan,81591 Bellgrove Parkway,899-1922,867-949-7086,9/17/2011
98,CUST098,Ariel,Snar,94 Alpine Avenue,,975-909-2795,4/27/2014
99,CUST099,Agnese,Bloyes,895 Farmco Street,2785-581,336-567-4382,01-11-2017
100,CUST100,Selena,Faulder,9 Sugar Circle,70805,730-746-9355,11/13/2012
